EAN,Produto_Original,Status,Preço_De_Tabela,Preço_Pix,Preço_Cartão,Farmácia
7.89668E+12,Funtyl 250mg 14 comprimidos,Esgotado,158.46,150.54,52.82,Vera Cruz
7.89664E+12,Unoprost 2mg 30 comprimidos,Disponível,36.48,30.15,31.74,Vera Cruz
7.89608E+12,"Imunoflan 307,39mg/ml Xarope 120ml",Esgotado,136.96,113.2,59.58,Vera Cruz
7.89492E+12,Propranolol 10mg 30 comprimidos,Disponível,10.82,8.43,8.87,Vera Cruz
7.89611E+12,"Press Plus 2,5mg + 10mg 30 cápsulas",Disponível,78.95,75,78.95,Vera Cruz
7.89609E+12,"Iziz 2,5mg + 1,5mg 28 Comprimidos Revestidos",Disponível,59.61,45.31,47.69,Vera Cruz
7.89345E+12,"Dermosalic 0,5mg/ml + 20,0mg/ml 30ml",Disponível,53.06,22.69,23.88,Vera Cruz
7.89132E+12,Tâmisa 30 Sem Parar 75mcg + 30mcg 28 drágeas,Disponível,51.68,40.75,42.89,Vera Cruz
7.89609E+12,"Nesina Met* 12,5mg + 1000mg 60 comprimidos revestidos",Esgotado,191.75,182.16,63.92,Vera Cruz
7.89623E+12,Endofolin 5mg 30 comprimidos revestidos,Disponível,47.26,38.61,40.64,Vera Cruz
7.89626E+12,Tanakan 120mg 30 comprimidos revestidos,Disponível,367.35,275.7,96.74,Vera Cruz
7.89666E+12,Decongex Plus 4 comprimidos,Disponível,10.76,9.41,9.9,Vera Cruz
7.89172E+12,Euthyrox 200mcg 50 comprimidos,Disponível,74.87,54.06,56.9,Vera Cruz
7.89626E+12,Diovan 160mg 28 comprimidos revestidos,Disponível,151.14,143.58,50.38,Vera Cruz
7.89586E+12,Zyloric 100mg 30 comprimidos,Disponível,23.65,19.77,20.81,Vera Cruz
7.89652E+12,Leite de Magnésia 80mg/ml Sem Sabor 120ml,Esgotado,12.9,6.62,6.97,Vera Cruz
7.89618E+12,DERMOMAX - 40mg/g 1 bisnaga com 5g de creme de uso dermatológico,Esgotado,31.23,29.67,31.23,Vera Cruz
7.89609E+12,Neosaldina 4 drágeas,Disponível,9.2,7.08,7.45,Vera Cruz
7.89623E+12,Tamiflu 75mg 10 cápsulas,Esgotado,388.52,369.09,129.51,Vera Cruz
7.89132E+12,Primera 20 150mcg + 20mcg 63 comprimidos,Disponível,94.63,72.82,76.65,Vera Cruz
7.89608E+12,Prostatal 160mg 30 cápsulas moles,Disponível,168.34,142.33,74.91,Vera Cruz
