Farmácia,Status,Total Unidades Vendidas,Frequencia_Vendas,EAN_ou_SKU,Nome_do_Produto,Preco_Tabela,Preco_Cartao_Valor,Desconto_Cartao,Preco_Pix_Valor,Desconto_Pix
SaoPaulo,Indisponível,374.0,14,0,Fralda Piquitucho G 30 Unidades,0,0,0,0,0
SãoPaulo,Disponível,374.0,12,7896181920502,Valsartana 160mg Genérico Biosintética 30 Comprimidos,"41,33","16,33",-60.5%,"16,33",-60.5%
SãoPaulo,Disponível,374.0,15,7908271302188,Esponja Facial Ever Care Celulose 1 Unidade,"15,99","14,39",-10.0%,"14,39",-10.0%
SãoPaulo,Disponível,374.0,13,7896523223223,Pomada para Assadura Babymed Pomada Rosa 45g,"12,99","12,99",-,"12,99",-
SãoPaulo,Disponível,374.0,14,3014260278939,Escova de Dente Sanifill Extra Macia 1 Unidade,"23,99","18,99",-20.8%,"18,99",-20.8%
SaoPaulo,Indisponível,374.0,13,0,Suplemento Alimentar Centrum Essencial Adulto com 8 nutrientes essenciais 30 Comprimidos,0,0,0,0,0
SãoPaulo,Disponível,374.0,12,7898567750680,Cera Depilatória em Blocos Tradicional - Depi Roll - 250g,"15,99","7,19",-55.0%,"7,19",-55.0%
SaoPaulo,Indisponível,374.0,16,0,Shampoo Dove Bond Intense Repair 350ml,0,0,0,0,0
SaoPaulo,Indisponível,374.0,13,0,Barra de Cereais Nuts & Joy Regular Cranberry 30g,0,0,0,0,0
SaoPaulo,Indisponível,374.0,13,0,Olmy Anlo 20mg/5mg Brace Pharma 30 Comprimidos,0,0,0,0,0
SãoPaulo,Disponível,374.0,14,7891025107910,Fórmula Infantil Aptanutri Premium 3 800g,"73,99","73,99",-,"73,99",-
SãoPaulo,Disponível,374.0,16,7896714234564,Furosemida 40mg Genérico Neo Química 20 Comprimidos,"22,53","13,99",-37.9%,"13,99",-37.9%
SãoPaulo,Disponível,374.0,14,7898148298587,Bromoprida 10mg Genérico Prati  Donaduzzi 20 Comprimidos,"32,38","13,36",-58.7%,"13,36",-58.7%
SãoPaulo,Disponível,374.0,12,7898948648131,Utrogestan 100mg Besins Healthcare 30 Comprimidos,"86,20","73,75",-14.4%,"73,75",-14.4%
