Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
SãoPaulo;7891177181134;Sabonete Líquido Fiorucci Flor de Cerejeira Refil 440ml;Disponível;13,92;10,44;-25.0%;10,44;-25.0%;Sabonete;685852;https://www.drogariasaopaulo.com.br/sabonete-liquido-fiorucci-flor-de-cerejeira-refil-440ml/p
SãoPaulo;7501007457789;Shampoo Pantene Brilho Extremo 200ml;Disponível;19,99;14,99;-25.0%;14,99;-25.0%;Shampoo;390534;https://www.drogariasaopaulo.com.br/shampoo-pantene-brilho-extremo-200ml/p
SãoPaulo;7896094904972;Digedrat Maleato De Trimebutina 200mg 20 Cápsulas;Disponível;100,26;87,11;-13.1%;87,11;-13.1%;Medicamentos;121207;https://www.drogariasaopaulo.com.br/digedrat-200mg-20-capsulas/p
SãoPaulo;019045108022;Desodorante Stick Ban Powder Fresh 73g;Disponível;64,99;48,99;-24.6%;48,99;-24.6%;Desodorante;159670;https://www.drogariasaopaulo.com.br/desodorante-ban-stick-powder-fresh-73g/p
SãoPaulo;7898919412259;Hidratante Corporal Paixão Inspiradora com Óleo de Amêndoas Ação Desodorante 400ml;Disponível;17,99;15,09;-16.1%;15,09;-16.1%;Hidratante;523178;https://www.drogariasaopaulo.com.br/hidratante-corporal-paixao-inspirador-320ml/p
SãoPaulo;7896206400385;Nolvadex-D 20mg Astrazeneca 30 Comprimidos;Disponível;432,87;209,90;-51.5%;209,90;-51.5%;Medicamentos;95559;https://www.drogariasaopaulo.com.br/nolvadex-d-20mg-sanofi-aventis-30-comprimidos/p
SãoPaulo;7896094917255;Analgésico Atrofem 400mg 2 Cápsulas;Disponível;5,38;5,29;-1.7%;5,29;-1.7%;Remédios;669970;https://www.drogariasaopaulo.com.br/atrofem-400mg-blister-4-cps--hypermarcas/p
SãoPaulo;7891058003555;Puran T4 Levotiroxina Sódica 12,5mcg 30 Comprimidos Revestidos;Disponível;3,87;3,69;-4.7%;3,69;-4.7%;Medicamentos;522848;https://www.drogariasaopaulo.com.br/puran-t4-12-5mcg-sanofi-aventis-30-comprimidos-revestidos/p
SãoPaulo;7896009490682;Pó Fixador de Dentadura Ultra Corega 50g;Disponível;149,99;149,99;-;149,99;-;Fixador de Dentadura;29823;https://www.drogariasaopaulo.com.br/fixador-de-dentadura-ultra-corega-em-po-50g/p
SãoPaulo;7896290402401;Loção Adstringente Facial Darrow Actine Pele Acneica 190ml;Disponível;86,99;81,99;-5.7%;81,99;-5.7%;Dermocosméticos/Loção;506516;https://www.drogariasaopaulo.com.br/darrow-actine-locao-adstringente-100ml/p
SãoPaulo;7896658012303;Descongestionante Infantil Sorine 9mg/ml 30ml Gotas;Disponível;21,25;18,59;-12.5%;18,59;-12.5%;Remédios;15067;https://www.drogariasaopaulo.com.br/sorine-solucao-infantil-30ml/p
SãoPaulo;7702018072217;Aparelho de Depilar Gillette Venus Sensitive 2 Unidades;Disponível;32,99;24,94;-24.4%;24,94;-24.4%;Depilador;385948;https://www.drogariasaopaulo.com.br/aparelho-de-depilar-gillette-venus-sensitive-2-unidades/p
SãoPaulo;7891653010507;Tinta de Cabelo Grecin Gel Tons de Grisalho;Disponível;71,59;67,59;-5.6%;67,59;-5.6%;Tinta de Cabelo;199605;https://www.drogariasaopaulo.com.br/tintura-grecin-tons-de-grisalho/p
SãoPaulo;7896806700038;Leite de Rosas Grande 170ml;Disponível;7,59;7,49;-1.3%;7,49;-1.3%;Hidratante;52795;https://www.drogariasaopaulo.com.br/leite-de-rosas-grande-170ml/p
