Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
SãoJoão;7896094915381;Atroveran DIP 1g 20 Comprimidos Hypera;Disponível;27,15;27,15;-;27,15;-;Analgésicos;4082;https://lojavtex.saojoaofarmacias.com.br/atroveran-dip-1g-20-comprimidos-hypera-10004350/p
SãoJoão;7898133136634;Arlivry 100ml Sabor Cereja Natulab;Disponível;17,90;17,90;-;17,90;-;Alergias E Infecções;4075;https://lojavtex.saojoaofarmacias.com.br/arlivry-100ml-sabor-cereja-natulab-10103005/p
SãoJoão;7896026300988;Anador 500mg 24 Comprimidos Sanofi;Disponível;29,62;27,69;-6.5%;27,69;-6.5%;Analgésicos;4067;https://lojavtex.saojoaofarmacias.com.br/anador-500mg-24-comprimidos-sanofi-1005896/p
SãoJoão;7896512901408;Supositório de Glicerina Infantil 12 Unidades;Disponível;28,99;28,99;-;28,99;-;Estômago E Gastrointestinais;3946;https://lojavtex.saojoaofarmacias.com.br/supositorio-de-glicerina-infantil-12-unidades-12190/p
SãoJoão;7896862960025;Gastrogel Fresh Menta Suspensão Oral 150ml;Disponível;29,90;29,90;-;29,90;-;Estômago E Gastrointestinais;3705;https://lojavtex.saojoaofarmacias.com.br/gastrogel-fresh-menta-suspensao-oral-150ml-100016157/p
SãoJoão;7896331702958;Gastrobion Gel Cereja 240ml;Disponível;29,90;29,90;-;29,90;-;Estômago E Gastrointestinais;3704;https://lojavtex.saojoaofarmacias.com.br/gastrobion-gel-cereja-240ml-10098535/p
SãoJoão;7896023700101;Figatil 20 Drágeas;Disponível;24,90;24,90;-;24,90;-;Estômago E Gastrointestinais;3649;https://lojavtex.saojoaofarmacias.com.br/figatil-20-drageas-1030/p
SãoJoão;7896094927841;Antiácido Estomazil Pó Efervescente Sem Sabor Pote 100g Hypera Pharma;Disponível;28,16;28,16;-;28,16;-;Estômago E Gastrointestinais;3640;https://lojavtex.saojoaofarmacias.com.br/antiacido-estomazil-po-efervescente-sem-sabor-pote-100g-hypera-pharma-100013761/p
SãoJoão;7896094927858;Antiácido Estomazil Pó Efervescente Abacaxi Pote 100g Hypera Pharma;Disponível;28,16;28,16;-;28,16;-;Estômago E Gastrointestinais;3639;https://lojavtex.saojoaofarmacias.com.br/antiacido-estomazil-po-efervescente-abacaxi-pote-100g-hypera-pharma-100013760/p
SãoJoão;7896094907294;Engov 12 Comprimidos Hypera;Disponível;20,74;16,59;-20.0%;16,59;-20.0%;Estômago E Gastrointestinais;3604;https://lojavtex.saojoaofarmacias.com.br/engov-12-comprimidos-hypera-10007209/p
SãoJoão;7896004723563;Domperidona Genérico EMS 10mg 30 Comprimidos;Disponível;24,17;22,59;-6.5%;22,59;-6.5%;Estômago E Gastrointestinais;3584;https://lojavtex.saojoaofarmacias.com.br/domperidona-generico-ems-10mg-30-comprimidos-10101930/p
SãoJoão;7894916208833;Tropinal Solução 15ml;Disponível;28,08;25,89;-7.8%;25,89;-7.8%;Analgésicos;3453;https://lojavtex.saojoaofarmacias.com.br/tropinal-solucao-15ml-10022/p
SãoJoão;7896227800089;Salonpas Gel 20g;Disponível;20,51;20,51;-;20,51;-;Anti-inflamatórios;3416;https://lojavtex.saojoaofarmacias.com.br/salonpas-gel-20g-1008564/p
SãoJoão;7896004756417;Paracetamol + Codeína Genérico EMS 12 Comprimidos (A2);Disponível;26,28;24,69;-6.1%;24,69;-6.1%;Analgésicos;1242951;https://lojavtex.saojoaofarmacias.com.br/paracetamol---codeina-generico-ems-12-comprimidos--a2--100026655/p
SãoJoão;7896094916296;Analgésico Lisador Dip 1g 8 Comprimidos;Disponível;19,79;19,79;-;19,79;-;Analgésicos;1242926;https://lojavtex.saojoaofarmacias.com.br/analgesico-lisador-dip-1g-8-comprimidos-100023278/p
SãoJoão;7898572401829;Firmacal 1000mg + Vit D 90 Comprimidos;Disponível;24,90;24,90;-;24,90;-;Saúde Óssea;1242922;https://lojavtex.saojoaofarmacias.com.br/firmacal-1000mg---vit-d-90-comprimidos-100023006/p
SãoJoão;7896714212371;Bromazepam Genérico Neo Química 6mg 30 Comprimidos (B1);Disponível;41,47;26,90;-35.1%;26,90;-35.1%;Sistema Nervoso Central;1242816;https://lojavtex.saojoaofarmacias.com.br/bromazepam-generico-neo-quimica-6mg-30-comprimidos--b1--100020625/p
SãoJoão;7891317022044;Permese 1ml Injetável + Seringa Momenta;Disponível;29,78;27,39;-8.0%;27,39;-8.0%;Alergias E Infecções;1242669;https://lojavtex.saojoaofarmacias.com.br/permese-1ml-injetavel---seringa-momenta-100014960/p
SãoJoão;7896004731285;Carvedilol Genérico EMS 6,25mg 30 Comprimidos;Disponível;60,51;19,79;-67.3%;19,79;-67.3%;Cardiológicos;1242299;https://lojavtex.saojoaofarmacias.com.br/carvedilol-generico-ems-6-25mg-30-comprimidos-100003173/p
SãoJoão;7896714212203;Bromazepam Genérico Neo Química 3mg 30 Comprimidos (B1);Disponível;25,34;17,99;-29.0%;17,99;-29.0%;Sistema Nervoso Central;1242294;https://lojavtex.saojoaofarmacias.com.br/bromazepam-generico-neo-quimica-3mg-30-comprimidos--b1--100003007/p
