Farmácia,Status,Total Unidades Vendidas,Frequencia_Vendas,EAN_ou_SKU,Nome_do_Produto,Preco_Tabela,Preco_Cartao_Valor,Desconto_Cartao,Preco_Pix_Valor,Desconto_Pix
VeraCruz,Disponível,465.0,14,7896094207745,Stanglit 15mg 30 comprimidos,"94,97","72,18",-24.0%,"68,57",-27.8%
VeraCruz,Disponível,465.0,15,7896112401605,"Vonau Flash 8mg, Sabor Menta 10 comprimidos de desintegração oral","97,38","67,19",-31.0%,"63,83",-34.5%
VeraCruz,Disponível,464.0,16,7896641808777,Mesacol 250mg 15 supositórios,"82,27","68,28",-17.0%,"64,87",-21.1%
VeraCruz,Disponível,463.0,16,7897337706568,Singulair 10mg 30 comprimidos,"94,53","76,57",-19.0%,"72,74",-23.1%
VeraCruz,Disponível,460.0,14,7896112407034,Doss Zinco 2000UI + 20mg 60 cápsulas gelatinosas moles,"72,50","72,50",-0.0%,"68,88",-5.0%
VeraCruz,Disponível,459.0,14,7896658024955,Bravan Duo 160mg/5mg 30 comprimidos,0,0,0,0,0
VeraCruz,Disponível,459.0,14,7896094201453,Siblima 60mcg + 15mcg 24 comprimidos revestidos,"46,62","36,36",-22.0%,"34,54",-25.9%
VeraCruz,Disponível,458.0,14,7891317140885,Piemonte10mg 30 comprimidos revestidos,"76,50","61,97",-19.0%,"58,87",-23.0%
VeraCruz,Disponível,458.0,14,7897322709536,Vitamina D3 Addera D3 50.000UI 10 comprimidos revestidos,0,0,0,0,0
VeraCruz,Disponível,457.0,15,7896230301689,Calicida Solução ADV 10ml,"25,90","25,90",-0.0%,"24,61",-5.0%
VeraCruz,Disponível,457.0,13,7896658036057,Cefalium One 750mg 20 Comprimidos,"32,46","27,59",-15.0%,"26,21",-19.3%
VeraCruz,Disponível,457.0,15,7897411610958,Loxonin 60mg 30 comprimidos,0,0,0,0,0
VeraCruz,Disponível,456.0,14,7897337716345,Microdiol 150mcg + 30mcg 21 comprimidos,"52,41","36,16",-31.0%,"34,35",-34.5%
VeraCruz,Disponível,455.0,13,7896083402625,"Imunoflan 307,39mg/ml Xarope 120ml",0,0,0,0,0
VeraCruz,Disponível,455.0,14,7894916550048,Propranolol 10mg 30 comprimidos,"10,82","8,87",-18.0%,"8,43",-22.1%
VeraCruz,Disponível,454.0,16,7896094209503,"Iziz 2,5mg + 1,5mg 28 Comprimidos Revestidos","59,61","47,69",-20.0%,"45,31",-24.0%
VeraCruz,Disponível,454.0,15,7896112470526,"Press Plus 2,5mg + 10mg 30 cápsulas","78,95","78,95",-0.0%,"75,00",-5.0%
VeraCruz,Disponível,453.0,16,7896637022910,Unoprost 2mg 30 comprimidos,"36,48","31,74",-13.0%,"30,15",-17.4%
VeraCruz,Disponível,453.0,16,7896676410761,Funtyl 250mg 14 comprimidos,0,0,0,0,0
VeraCruz,Disponível,452.0,15,7896094922426,"Nesina Met* 12,5mg + 1000mg 60 comprimidos revestidos",0,0,0,0,0
VeraCruz,Disponível,452.0,14,7893454100654,"Dermosalic 0,5mg/ml + 20,0mg/ml 30ml","53,06","23,88",-55.0%,"22,69",-57.2%
VeraCruz,Disponível,452.0,13,7891317009748,Tâmisa 30 Sem Parar 75mcg + 30mcg 28 drágeas,"51,68","42,89",-17.0%,"40,75",-21.1%
VeraCruz,Disponível,451.0,14,7896226101873,Endofolin 5mg 30 comprimidos revestidos,"47,26","40,64",-14.0%,"38,61",-18.3%
VeraCruz,Disponível,450.0,15,7896255764933,Tanakan 120mg 30 comprimidos revestidos,"367,35","96,74",-73.7%,"275,70",-24.9%
VeraCruz,Disponível,449.0,15,7896658007996,Decongex Plus 4 comprimidos,"10,76","9,90",-8.0%,"9,41",-12.5%
VeraCruz,Disponível,449.0,16,7891721014796,Euthyrox 200mcg 50 comprimidos,"74,87","56,90",-24.0%,"54,06",-27.8%
VeraCruz,Disponível,448.0,15,7895858010324,Zyloric 100mg 30 comprimidos,"23,65","20,81",-12.0%,"19,77",-16.4%
VeraCruz,Disponível,448.0,13,7896523201436,Leite de Magnésia 80mg/ml Sem Sabor 120ml,0,0,0,0,0
VeraCruz,Disponível,448.0,14,7896261005884,Diovan 160mg 28 comprimidos revestidos,"151,14","50,38",-66.7%,"143,58",-5.0%
VeraCruz,Disponível,447.0,13,7896094921986,Neosaldina 4 drágeas,"9,20","7,45",-19.0%,"7,08",-23.0%
VeraCruz,Disponível,447.0,14,7896181909088,DERMOMAX - 40mg/g 1 bisnaga com 5g de creme de uso dermatológico,0,0,0,0,0
VeraCruz,Disponível,445.0,15,7896548199572,Solução Oftálmica Simbrinza 10mg/ml + 2mg/ml 8ml,"164,17","54,72",-66.7%,"155,96",-5.0%
VeraCruz,Disponível,445.0,14,7891317462475,Primera 20 150mcg + 20mcg 63 comprimidos,"94,63","76,65",-19.0%,"72,82",-23.0%
VeraCruz,Disponível,444.0,14,7896083410415,Prostatal 160mg 30 cápsulas moles,"168,34","74,91",-55.5%,"142,33",-15.5%
VeraCruz,Disponível,444.0,15,7896226506142,Tamiflu 75mg 10 cápsulas,0,0,0,0,0
VeraCruz,Disponível,443.0,14,7896227800041,Salonpas Air Aerosol 80ml,"52,61","45,77",-13.0%,"43,48",-17.4%
VeraCruz,Disponível,443.0,16,7896523202822,Loratamed 10mg Cimed 12 comprimidos,"22,44","5,09",-77.3%,"4,84",-78.4%
VeraCruz,Disponível,443.0,13,7891142177049,Predsim 5mg 20 comprimidos,"27,77","24,44",-12.0%,"23,22",-16.4%
VeraCruz,Disponível,442.0,13,7896658006043,Diosmin 450mg + 50mg 30 comprimidos revestidos,"70,37","70,37",-0.0%,"66,85",-5.0%
VeraCruz,Disponível,441.0,14,7898029550131,"ARCALION - 200mg, 60 drágeas",0,0,0,0,0
VeraCruz,Disponível,441.0,14,7891721016202,Floralyte 45 Sabor Guaraná 500ml,0,0,0,0,0
VeraCruz,Disponível,441.0,13,7896094921887,Ondif 8mg 10 filmes,"92,65","69,48",-25.0%,"66,01",-28.8%
VeraCruz,Disponível,441.0,13,7894916500425,Neutrofer Fólico 150mg + 5mg 30 comprimidos revestidos,0,0,0,0,0
VeraCruz,Disponível,441.0,14,7896714200804,Torsilax Neo Química 30 comprimidos,"36,13","16,26",-55.0%,"15,45",-57.2%
VeraCruz,Disponível,440.0,14,7898029558816,Vastarel MR 35mg 60 comprimidos de liberação prolongada,"203,68","52,96",-74.0%,"150,93",-25.9%
VeraCruz,Disponível,440.0,14,7896637023450,Lonium 40mg 60 comprimidos revestidos,"143,94","64,06",-55.5%,"121,70",-15.5%
VeraCruz,Disponível,440.0,14,7896422528719,Zinpass 10mg 30 comprimidos revestidos,"68,71","55,66",-19.0%,"52,88",-23.0%
VeraCruz,Disponível,440.0,14,7897406119886,"Cutisanol 3mg/g + 1,5mg/g + 93,33mg/g Pó 150g","56,50","49,16",-13.0%,"46,70",-17.3%
VeraCruz,Disponível,439.0,14,7896112406402,"Embo 2,5mg 20 comprimidos revestidos","78,92","59,19",-25.0%,"56,23",-28.8%
VeraCruz,Disponível,439.0,14,7892953101865,"Tecnomet 2,5mg 20 comprimidos","44,94","36,40",-19.0%,"34,58",-23.1%
VeraCruz,Disponível,439.0,13,7896181915072,Lotar 5mg + 50mg 30 cápsulas,"88,06","72,21",-18.0%,"68,60",-22.1%
VeraCruz,Disponível,438.0,13,7896637023658,Miosan 5mg 10 comprimidos revestidos,0,0,0,0,0
VeraCruz,Disponível,438.0,15,7892953000328,"Condroflex 1,5g + 1,2g 30 sachês com pó para solução oral","157,65","55,18",-65.0%,"104,84",-33.5%
VeraCruz,Disponível,438.0,14,7894916503419,Somalgin Cardio 200mg 32 comprimidos revestidos de dupla camada,"31,67","26,92",-15.0%,"25,57",-19.3%
VeraCruz,Disponível,437.0,14,7896637026307,Lactosil 10.000 FCC contém 30 Sachês 2g cada,"94,90","82,56",-13.0%,"78,43",-17.4%
VeraCruz,Disponível,436.0,13,7896094916258,Lisador Dip 1g 8 comprimidos,"19,82","18,63",-6.0%,"17,70",-10.7%
VeraCruz,Disponível,435.0,14,7896006217480,Neocopan Composto Gotas 10ml,"16,23","16,23",-0.0%,"15,42",-5.0%
