Farmácia,Status,Total Unidades Vendidas,Frequencia_Vendas,EAN_ou_SKU,Nome_do_Produto,Preco_Tabela,Preco_Cartao_Valor,Desconto_Cartao,Preco_Pix_Valor,Desconto_Pix
Drogaria São Paulo,Disponível,204.0,12,7898049790944.0,Dicloridrato De Flunarizina 10mg Genérico Vitapan 50 Comprimidos,"14,63","13,85",-5.3%,"13,85",-5.3%
Drogaria São Paulo,Disponível,204.0,13,7896070601796.0,Profenid Retard 200mg Sanofi 10 Comprimidos,"70,41","66,49",-5.6%,"66,49",-5.6%
FarmaPonte,Esgotado,203.0,12,0.0,Loção Hidratante Corporal Pharmacy Botanicals Lavanda 200 ml,0,0,0,0,0
Drogaria São Paulo,Disponível,203.0,12,7891317127800.0,Tadalafila 20mg Genérico Eurofarma 4 Comprimidos,"203,52","38,99",-80.8%,"38,99",-80.8%
FarmaPonte,Esgotado,203.0,13,0.0,Escova de Cabelo Desembaraçadora Rosa - Neon Brush Océane,0,0,0,0,0
Drogaria São Paulo,Disponível,203.0,14,7896112402992.0,Ciprofibrato 100mg Genérico Biolab 60 Comprimidos,"95,24","44,99",-52.8%,"44,99",-52.8%
FarmaPonte,Esgotado,203.0,13,0.0,Bauny - Pó Compacto Facial com FPS 25 10g - Cor 070,0,0,0,0,0
FarmaPonte,Esgotado,203.0,12,0.0,Chá Maracujá 10 sachês - Chá Mais,0,0,0,0,0
FarmaPonte,Esgotado,203.0,12,0.0,Creme Hidratante Vult Antissinais 7 em 1 100g,0,0,0,0,0
FarmaPonte,Esgotado,203.0,13,0.0,Imunoglucan Ds Suspensão Oral Hebron 150ml,0,0,0,0,0
FarmaPonte,Esgotado,203.0,15,0.0,Sabonete Líquido Nivea Creme Care Refil 200ml,0,0,0,0,0
FarmaPonte,Esgotado,202.0,14,0.0,Preservativo K-Med Extra Lubrificado Sex Education K-Misinha 3 Unidades,0,0,0,0,0
FarmaPonte,Esgotado,202.0,12,0.0,Naprix A 5mg + 5mg Libbs 30 Cápsulas,0,0,0,0,0
Drogaria São Paulo,Disponível,202.0,14,7896658047077.0,Aerolin 5mg/ml GSK 10ml Gotas,"40,84","33,65",-17.6%,"33,65",-17.6%
FarmaPonte,Esgotado,202.0,12,0.0,Kit Mamadeira Philips Avent Transparente 125ml + Mamadeira 260ml,0,0,0,0,0
FarmaPonte,Esgotado,202.0,13,0.0,Leave-in de Nutrição Magic Beauty Nutri Expert 120 ml,0,0,0,0,0
Drogaria São Paulo,Disponível,201.0,13,7897460401804.0,Gaballon 50mg + 50mg + 2mg + 4mg + 4mg Zydus 20 Comprimidos,"121,38","106,98",-11.9%,"106,98",-11.9%
FarmaPonte,Esgotado,201.0,12,0.0,"Lápis de Olho Vult Vinho Contatinho 1,1g",0,0,0,0,0
FarmaPonte,Esgotado,201.0,12,0.0,Shampoo Pantene Micelar 400ml,0,0,0,0,0
Drogaria São Paulo,Disponível,201.0,14,7896070601765.0,Profenid Entérico 100mg Sanofi Aventis 20 Comprimidos,"84,77","79,99",-5.6%,"79,99",-5.6%
FarmaPonte,Esgotado,201.0,13,0.0,"Água Crystal Sem Gás 1,5L",0,0,0,0,0
FarmaPonte,Esgotado,201.0,12,0.0,Máscara Capilar De Tratamento Dove 10 em 1 Nutrição 270g,0,0,0,0,0
FarmaPonte,Esgotado,201.0,14,0.0,Ravor - Ativador de Escova Bifásico -  110ml,0,0,0,0,0
FarmaPonte,Esgotado,201.0,12,0.0,Kit 2 frascos de Minoxidil 60ml,0,0,0,0,0
FarmaPonte,Esgotado,200.0,12,0.0,Escova de Cabelo Rosa - Joy Brush Océane,0,0,0,0,0
FarmaPonte,Esgotado,200.0,13,0.0,Escova Dental CuraproxSoft CS1560B Cores Sortidas,0,0,0,0,0
FarmaPonte,Esgotado,200.0,12,0.0,Óleo Corporal Hidramais Amêndoas Doces & Colágeno 120ml,0,0,0,0,0
FarmaPonte,Esgotado,200.0,13,0.0,Descolorante em Pó Cless Lightner Diamond +10 50g,0,0,0,0,0
FarmaPonte,Esgotado,200.0,12,0.0,Paleta de Sombra em Pó Fran by Franciny Ehlke 7 g,0,0,0,0,0
FarmaPonte,Esgotado,200.0,13,0.0,Pasta de Dente Colgate Luminous White Carvão Ativado 140g,0,0,0,0,0
FarmaPonte,Esgotado,199.0,13,0.0,Bolas de Algodão Ever Care 50g,0,0,0,0,0
FarmaPonte,Esgotado,199.0,13,0.0,Rimel para crescimento de sobrancelhas 9ml,0,0,0,0,0
FarmaPonte,Esgotado,199.0,13,0.0,Óleo Capilar SP System Professional Luxe Oil Elixir Reconstrutor 30 ml,0,0,0,0,0
FarmaPonte,Esgotado,199.0,13,0.0,"Elani 3mg + 0,03mg Libbs 28 Comprimidos",0,0,0,0,0
FarmaPonte,Esgotado,199.0,12,0.0,Biscoito Recheado sabor Limao com 90g - Bono,0,0,0,0,0
FarmaPonte,Esgotado,199.0,15,0.0,Shampoo Love Beauty And Planet Energizing Detox 300ml,0,0,0,0,0
FarmaPonte,Esgotado,199.0,12,0.0,Delineador Liquído À Prova D' Água Ink Essence Marrom 3ml,0,0,0,0,0
Drogaria São Paulo,Disponível,199.0,13,7895296098090.0,Pioglitazona 30mg Genérico Mepha 15 Comprimidos,"81,76","53,00",-35.2%,"53,00",-35.2%
FarmaPonte,Esgotado,199.0,12,0.0,Máscaras Para Olhos com Ácido Hialurônico - Hydrogel Eye Masks 2un Océane,0,0,0,0,0
FarmaPonte,Esgotado,199.0,13,0.0,Óleo Finalizador Lola Argan Oil Proteção Térmica 50ml,0,0,0,0,0
