Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
FarmaPonte;7896004727806;Ems Expector 0,4Mg Ml, + 4Mg Ml + 20Mg Ml, Caixa Com 1 Frasco Com 120Ml De Xarope + Copo Dosador;Disponível;31,77;24,22;-23.8%;25,49;-19.8%;Broncodilatador;12105;https://www.farmaponte.com.br/ems-expector-04mgml-4mgml-20mgml-caixa-com-1-frasco-com-120ml-de-xarope-copo-dosador/p
FarmaPonte;7894916146012;Rosuvastatina Cálcica Legrand 20mg, caixa com 30 comprimidos revestidos;Disponível;0;27,93;0;0;0;Redutor De Colesterol Antihipertensivo;12965;https://www.farmaponte.com.br/rosuvastatina-calcica-legrand-20mg-caixa-com-30-comprimidos-revestidos/p
FarmaPonte;7896637032971;Xafac Rivaroxabana 15mg 14 Comprimidos;Disponível;0;91,97;0;0;0;Antibiotico;21724;https://www.farmaponte.com.br/xafac-15mg-com-14-comprimidos-revestidos/p
FarmaPonte;7896523223223;Babymed 10000Ui G + 400Ui G + 100Mg G, Bisnaga Com 45G De Pomada De Uso Dermatologico;Disponível;17,45;10,20;-41.5%;12,00;-31.2%;Dermatológico;12486;https://www.farmaponte.com.br/babymed-10000uig-400uig-100mgg-bisnaga-com-45g-de-pomada-de-uso-dermatologico/p
FarmaPonte;7896006217480;Neocopan Composto 6,667Mg Ml + 333,4Mg Ml, Caixa Com 1 Frasco Gotejador Com 10Ml De Solucao De Uso Oral;Disponível;16,23;14,32;-11.8%;14,61;-10.0%;Antigases Antiespasmódico;24273;https://www.farmaponte.com.br/neocopan-composto-6667mg-ml-3334mg-ml-caixa-com-1-frasco-gotejador-com-10ml-de-solucao-de-uso-oral/p
FarmaPonte;7891317101985;Azitromicina 900mg Eurofarma Pó para Suspensão Oral 15ml + Diluente 12ml + Seringa Dosadora;Disponível;0;43,85;0;0;0;Antibiotico;22135;https://www.farmaponte.com.br/azitromicina-900mg-susp-euro/p
FarmaPonte;7896181916871;Risperidona - Biosintética 2 mg com rev ct bl al plas inc x 30;Disponível;41,33;37,26;-9.8%;38,02;-8.0%;Psicotropico;24579;https://www.farmaponte.com.br/risperidona-biosintetica-2-mg-com-rev-ct-bl-al-plas-inc-x-30/p
FarmaPonte;7897129304781;Aloxidil Minoxidil 5  Solução Capilar 60ml + 1 Válvula Spray;Disponível;0;72,75;0;0;0;Dermatológico;27248;https://www.farmaponte.com.br/aloxidil-minoxidil-5-solucao-capilar-60ml-1-valvula-spray/p
FarmaPonte;7896230304765;ZZ Wash in Solucao Nasal 100ml Adv;Disponível;0;6,46;0;0;0;Descongestionante Nasal;25127;https://www.farmaponte.com.br/wash-in-solucao-nasal-100ml-adv/p
FarmaPonte;7896658018879;Esalerg Liquido 60 Ml;Disponível;52,04;44,88;-13.8%;45,80;-12.0%;Anti Histaminico E Antialergico Topico;18115;https://www.farmaponte.com.br/esalerg-liq-60ml-l2-zz/p
FarmaPonte;7896165600727;Picoprep contém 2 sachês com 16,1g cada - sabor laranja;Disponível;0;50,19;0;0;0;Laxantes e Purgantes;13111;https://www.farmaponte.com.br/picoprep-10mg-35g-12g-caixa-com-2-saches-de-po-para-preparo-extemporaneo-de-uso-oral/p
FarmaPonte;8903855092805;Rosucor EZE 20mg + 10mg Torrent 30 Comprimidos;Disponível;110,04;91,66;-16.7%;93,53;-15.0%;Redutor De Colesterol Antihipertensivo;28549;https://www.farmaponte.com.br/rosucor-eze-20mg-10mg-torrent-30-comprimidos/p
